Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,383.25,4599,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,73,876,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),,Amazon EC2,0,4837.12,58045.44,USD,"Operating system (Linux), Quantity (8), Pricing strategy (On-Demand Instances 1 Year Partial Upfront), Storage amount (1 TB), Instance type (m5a.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,8554.52,102654.24,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (2), Instance type (db.m5.8xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 TB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,4385.52,52626.24,USD,S3 Standard storage (10 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (6), Number of EIPs per instance (1)"
My Estimate,US East (N. Virginia),,Amazon CloudWatch,0,1501.259,18015.11,USD,"Number of Metrics (includes detailed and custom metrics) (5000), Standard Logs: Data Ingested (1 GB), Vended Logs: Data Ingested (1 GB), Logs Delivered to S3: Data Ingested (1 GB)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Rationale: Increase resources,,,,,,,,
Changes been made,,,,,,,,
The ec2-instance service - increased with two ec2 instances.,,,,,,,,
 RDS service increased to db.m5.8xlarge vCPU: 32 Memory: 128 GiB. Increased  backup storage to 10 TB. It provides increased resilience and redundancy with its multi-region deployment.,,,,,,,,
"Added Amazon CloudWatch, to collect various logs and notify me during any alarms. ",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Total monthly,"19,917.67 USD",,,,,,,
