Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196,USD,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,383.25,4599,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,73,876,USD,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),,Amazon EC2,10848,1516.68,29048.16,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year Partial Upfront), Storage amount (1 TB), Instance type (m5a.4xlarge)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,14620,1689.41,34892.92,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Quantity (2), Instance type (db.m5.4xlarge), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr Partial Upfront)"
My Estimate,US East (N. Virginia),,S3 Standard,0,417.3,5007.6,USD,S3 Standard storage (100 GB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Not selected (7.5 TB per month), DT Outbound: Not selected (50 TB per month)"
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (6), Number of EIPs per instance (1)"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
Rationale:  to reduce the cost by use reversed instances 1 year period.,,,,,,,,
Changes been made,,,,,,,,
1st change  on the ec2-instance service I choose one-year reserve instances for the same instance type. ,,,,,,,,
2st change  on the RDS service  I choose one-year reserve instances.,,,,,,,,
,,,,,,,,
Total monthly,"4,262.64 USD",,,,,,,
